Grupo,Usuario,Fecha
1,369,2018-10-21
1,424,2022-11-20
1,377,2020-12-13
1,673,2010-08-06
1,465,2016-04-12
1,61,2020-03-03
1,199,2004-05-24
1,4,2007-10-25
1,85,2018-02-15
1,830,2021-04-28
1,984,2020-03-24
1,319,2012-06-05
1,702,2007-06-25
1,252,2010-01-05
1,317,2006-05-27
1,519,2011-03-01
1,749,2019-06-26
1,41,2022-09-20
1,301,2008-08-24
1,109,2019-10-29
1,797,2021-01-13
1,65,2006-06-15
1,760,2021-01-07
1,869,2021-02-24
1,479,2009-03-03
1,167,2005-10-10
1,371,2014-07-14
1,642,2009-05-11
2,512,2018-09-06
2,793,2005-03-17
2,323,2009-11-03
2,184,2013-07-28
2,828,2011-06-13
2,103,2012-04-12
2,335,2007-06-25
2,591,2022-06-12
2,558,2021-06-10
2,137,2022-06-04
2,636,2019-11-29
2,774,2012-02-25
2,926,2019-11-28
2,153,2023-03-24
2,824,2017-02-01
2,834,2007-01-20
2,75,2007-02-07
2,248,2015-11-14
2,18,2019-08-29
2,147,2020-09-26
2,721,2014-07-01
2,211,2014-10-30
2,637,2018-09-02
2,63,2006-10-12
2,979,2009-12-19
2,738,2018-04-25
2,64,2005-05-08
2,77,2020-11-25
2,241,2012-05-09
3,30,2021-09-24
3,149,2021-11-04
3,128,2010-06-26
3,491,2010-11-15
3,386,2007-05-30
3,13,2015-01-18
3,904,2018-04-20
3,956,2010-01-29
3,897,2020-02-23
3,777,2020-06-06
3,208,2020-09-13
3,300,2011-10-03
3,695,2014-02-11
3,276,2016-02-17
3,637,2011-06-26
3,415,2023-03-01
3,519,2021-01-12
3,629,2020-03-16
3,295,2006-12-14
3,992,2006-10-01
3,377,2022-08-17
3,966,2018-11-07
3,317,2009-08-14
3,87,2013-06-09
3,682,2004-11-04
3,749,2022-04-25
3,784,2006-05-18
3,819,2005-08-22
3,889,2020-10-13
3,760,2009-12-25
3,337,2020-07-05
3,213,2015-03-13
3,150,2021-02-12
3,515,2016-09-03
3,555,2009-04-15
3,788,2021-12-19
3,639,2011-06-04
3,446,2011-04-02
4,781,2011-05-19
4,889,2012-04-23
4,446,2017-09-24
4,309,2006-05-14
4,440,2016-01-21
4,383,2019-05-19
4,865,2009-10-27
4,469,2018-10-27
4,490,2021-04-26
4,76,2020-03-04
4,620,2018-10-03
4,954,2012-05-03
4,811,2007-10-30
4,187,2005-04-23
4,155,2018-12-06
4,635,2004-07-16
4,325,2017-09-19
4,248,2010-08-06
4,875,2015-06-12
4,722,2012-08-16
4,410,2017-03-04
4,1000,2007-11-17
4,606,2017-01-26
4,374,2011-11-02
4,762,2009-06-13
4,317,2009-06-21
4,358,2008-01-11
5,992,2023-01-24
5,124,2012-07-23
5,128,2020-03-15
5,305,2016-07-31
5,663,2021-05-09
5,603,2018-08-25
5,196,2014-11-22
5,474,2011-03-07
5,697,2016-01-14
5,920,2021-03-28
5,213,2020-02-09
5,957,2008-09-09
5,307,2010-05-09
5,731,2013-09-01
5,326,2017-10-30
5,13,2012-07-10
5,591,2008-04-21
5,285,2023-02-28
5,635,2006-03-25
5,588,2015-04-04
6,980,2005-01-08
6,52,2006-01-21
6,789,2011-07-21
6,155,2011-10-24
6,897,2004-12-08
6,503,2011-11-26
6,241,2015-07-03
6,620,2014-12-06
6,352,2005-12-04
6,545,2022-12-31
6,307,2014-04-25
6,51,2006-02-12
6,836,2006-04-13
6,571,2012-10-30
6,16,2015-04-16
6,132,2012-02-28
6,191,2014-12-29
6,388,2014-12-13
6,853,2020-02-17
6,851,2020-02-08
6,9,2022-09-07
6,924,2006-01-13
6,97,2007-02-26
6,161,2006-12-21
6,73,2015-09-19
6,277,2010-12-28
6,109,2007-01-30
6,442,2018-01-19
6,272,2008-02-02
6,310,2011-10-14
6,444,2016-03-12
6,130,2009-12-08
6,674,2010-12-02
6,927,2018-09-06
6,792,2022-11-27
6,908,2016-02-12
7,857,2010-03-12
7,475,2009-05-09
7,775,2007-02-24
7,221,2022-07-04
7,895,2017-06-13
7,985,2009-08-07
7,518,2009-11-23
7,175,2012-02-16
7,873,2019-02-02
7,392,2013-09-21
7,185,2021-04-17
7,271,2022-02-10
7,126,2017-03-26
7,125,2012-02-03
7,356,2008-12-04
7,881,2022-09-28
7,607,2012-04-04
7,50,2009-09-09
7,269,2012-07-05
7,311,2015-04-26
7,93,2021-08-11
7,481,2013-02-27
7,1000,2013-06-27
7,366,2007-06-10
7,233,2011-11-17
7,315,2020-02-11
7,567,2010-06-05
7,940,2017-03-22
7,682,2009-12-04
7,460,2005-11-14
7,400,2008-08-17
8,788,2016-11-30
8,566,2013-01-30
8,171,2017-06-07
8,242,2022-03-21
8,433,2010-10-17
8,697,2004-03-07
8,856,2008-04-07
8,799,2009-06-14
8,905,2011-05-22
8,36,2009-04-20
8,702,2021-12-08
8,918,2005-03-31
8,217,2021-01-05
8,728,2012-02-15
8,947,2018-01-06
8,660,2013-12-31
8,672,2020-05-09
8,942,2021-02-16
8,307,2010-01-19
8,797,2018-07-20
8,911,2004-07-23
8,38,2014-10-04
8,599,2005-07-12
8,509,2018-12-29
8,248,2022-06-29
8,240,2020-11-08
8,682,2004-10-08
8,585,2017-03-11
8,341,2004-09-03
8,538,2007-03-31
8,429,2014-09-06
8,662,2022-11-21
8,150,2016-11-12
9,286,2012-02-14
9,658,2019-03-10
9,72,2017-08-19
9,533,2014-05-30
9,118,2011-08-27
9,244,2006-05-20
9,325,2021-08-01
9,732,2017-03-17
9,254,2013-10-04
9,596,2005-10-24
9,805,2012-03-21
9,681,2007-06-09
9,407,2022-10-15
9,12,2019-11-01
9,234,2007-01-16
9,523,2011-01-14
9,522,2006-11-18
9,330,2007-05-13
9,299,2007-12-30
9,887,2008-11-15
9,97,2005-12-06
9,588,2009-12-11
9,216,2022-01-01
10,126,2006-07-30
10,685,2004-07-19
10,840,2022-07-08
10,344,2016-05-05
10,741,2007-01-30
10,182,2012-08-24
10,565,2021-09-10
10,68,2004-03-24
10,881,2008-11-24
10,20,2007-04-30
10,51,2020-10-22
10,904,2015-08-06
10,929,2008-03-15
10,94,2008-10-06
10,75,2012-03-06
10,441,2017-04-27
10,304,2019-08-08
10,913,2013-08-03
10,120,2011-05-01
10,504,2008-12-21
10,113,2005-09-25
10,404,2005-06-09
10,609,2009-10-09
