idmensaje,idusuarioremitente,idusuarioreceptor,fechamensaje,contenidomensaje
1,1,343,2022-01-11,¡Vamos a hacer un equipo imbatible!
2,1,619,2022-01-05,¿Has visto la nueva arma?
3,1,53,2022-01-01,¿Quieres jugar una partida?
4,1,732,2022-01-13,¿Cómo te va en el juego?
5,1,486,2022-01-11,+rep divertido jugar con el :D
6,1,361,2022-01-15,¿Qué piensas de la música del juego?
7,1,479,2022-01-01,¿Qué piensas de las últimas actualizaciones?
8,1,440,2022-01-02,¿Has visto la nueva arma?
9,1,904,2022-01-13,¿Qué te parece si jugamos en equipo?
10,1,430,2022-01-21,¿Has visto la nueva arma?
11,1,912,2022-01-10,¿Quieres jugar una partida?
12,1,395,2022-01-22,Que perfil mas chulo
13,1,476,2022-01-18,¿Cuántas horas has jugado?
14,1,109,2022-01-26,¿Te gustaría una revancha?
15,1,168,2022-01-18,¿Qué te parece si jugamos en modo historia?
16,1,160,2022-01-19,¿Cuál es tu mapa favorito?
17,1,17,2022-01-12,Como es posible que tengas tantas horas O:
18,1,255,2022-01-06,¿Te gustaría jugar en equipo?
19,1,376,2022-01-15,¿Qué piensas de la música del juego?
20,1,759,2022-01-28,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
21,2,855,2022-01-01,¡Vamos a hacer un equipo imbatible!
22,2,849,2022-01-05,¿Cuál es tu estrategia favorita?
23,2,444,2022-01-06,¿Cómo te va en el juego?
24,2,494,2022-01-15,¿Qué te parece si jugamos en modo historia?
25,2,293,2022-01-17,¿Qué piensas de los gráficos del juego?
26,2,405,2022-01-19,¿Qué te parece si nos agregamos como amigos?
27,2,827,2022-01-13,¿Cuántas horas has jugado?
28,2,428,2022-01-19,No me carga tu descripcion :(
29,2,457,2022-01-29,¡No puedo esperar para jugar de nuevo!
30,2,451,2022-01-05,¿Qué te parece si creamos una estrategia?
31,2,821,2022-01-26,¡No puedo esperar para jugar de nuevo!
32,2,517,2022-01-22,No me carga tu descripcion :(
33,2,813,2022-01-18,¡Esa fue una gran partida!
34,2,584,2022-01-03,¡Esa fue una gran jugada!
35,2,868,2022-01-25,¿Qué piensas de los gráficos del juego?
36,2,13,2022-01-04,Algun dia me tienes que enseñar a jugar al Stardew Valley
37,2,290,2022-01-08,¿Te gustaría jugar en grupo?
38,2,693,2022-01-10,¿Qué piensas de la música del juego?
39,2,44,2022-01-27,¿Te gustaría unirte a nuestro grupo de
40,2,848,2022-01-28,¿Cuál es tu estrategia favorita?
41,3,163,2022-01-04,¿Te gustaría una revancha?
42,3,60,2022-01-14,¿Qué te parece si creamos un torneo?
43,3,78,2022-01-17,¡Esa fue una gran partida!
44,3,605,2022-01-16,¿Qué te parece si jugamos en modo historia?
45,3,557,2022-01-22,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
46,3,604,2022-01-09,¿Qué te parece si jugamos en equipo?
47,3,539,2022-01-21,Como es posible que tengas tantas horas O:
48,3,706,2022-01-14,¿Cuántas horas has jugado?
49,3,152,2022-01-02,¿Qué piensas de los gráficos del juego?
50,3,932,2022-01-09,¿Cuál es tu arma favorita?
51,3,755,2022-01-23,¡Eso fue épico!
52,3,429,2022-01-20,¡Eso fue épico!
53,3,463,2022-01-29,¿Has visto la nueva arma?
54,3,53,2022-01-03,¿Qué piensas de la música del juego?
55,3,441,2022-01-06,¿Qué piensas de la música del juego?
56,3,164,2022-01-28,¿Cómo has estado?
57,3,356,2022-01-22,Algun dia me tienes que enseñar a jugar al Stardew Valley
58,3,891,2022-01-26,Agregame para jugar juntos :)
59,3,145,2022-01-13,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
60,3,258,2022-01-21,¿Qué te parece si jugamos en equipo?
61,4,572,2022-01-14,¿Has visto el último tráiler?
62,4,662,2022-01-05,Gracias por el carreo
63,4,935,2022-01-02,Que perfil mas chulo
64,4,713,2022-01-09,¿Cómo has estado?
65,4,795,2022-01-21,¿Has visto la nueva arma?
66,4,500,2022-01-07,¿Qué te parece si creamos una estrategia?
67,4,673,2022-01-27,¡No puedo esperar para jugar de nuevo!
68,4,765,2022-01-14,¿Qué te parece si creamos un torneo?
69,4,762,2022-01-26,¡Eso estuvo muy cerca!
70,4,400,2022-01-06,¿Cuál es tu estrategia favorita?
71,4,470,2022-01-22,¡No puedo esperar para jugar de nuevo!
72,4,131,2022-01-19,Como es posible que tengas tantas horas O:
73,4,633,2022-01-25,GG
74,4,413,2022-01-07,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
75,4,622,2022-01-10,¡Esa fue una gran partida!
76,4,932,2022-01-11,Vete a recoger patatas
77,4,336,2022-01-11,¿Qué piensas de la música del juego?
78,4,646,2022-01-05,No me puedo creer que tengas tan pocas horas
79,4,529,2022-01-24,¿Cuál es tu estrategia favorita?
80,4,966,2022-01-27,¿Cómo te va en el juego?
81,5,651,2022-01-17,¿Qué te parece si jugamos en modo historia?
82,5,224,2022-01-22,¿Qué piensas de las habilidades especiales?
83,5,101,2022-01-08,¿Quieres jugar de nuevo?
84,5,397,2022-01-11,¿Te gustaría unirte a nuestro clan?
85,5,530,2022-01-07,+rep divertido jugar con el :D
86,5,705,2022-01-28,¡Esa fue una gran partida!
87,5,208,2022-01-04,¿Te gustaría jugar en equipo?
88,5,714,2022-01-12,Echemonos algunas partidas al CSGO
89,5,153,2022-01-14,¡Eso estuvo muy cerca!
90,5,60,2022-01-10,¡Esa fue una gran jugada!
91,5,432,2022-01-01,¡No puedo creer que ganamos esa partida!
92,5,717,2022-01-03,GG
93,5,247,2022-01-29,¿Te gustaría unirte a nuestro grupo de
94,5,983,2022-01-10,¡Eso estuvo muy cerca!
95,5,487,2022-01-28,¿Cuál es tu mapa favorito?
96,5,460,2022-01-07,Muy cringe tu foto de perfil
97,5,516,2022-01-12,Echemonos algunas partidas al CSGO
98,5,319,2022-01-12,¿Cuál es tu estrategia favorita?
99,5,795,2022-01-29,No te rindas tienes potencial
100,5,162,2022-01-03,¡Eso fue épico!
101,6,401,2022-01-16,¿Qué piensas de la música del juego?
102,6,876,2022-01-02,¿Cuál es tu personaje favorito?
103,6,667,2022-01-21,¿Qué te parece si jugamos en modo historia?
104,6,493,2022-01-26,Echemonos algunas partidas al CSGO
105,6,580,2022-01-21,¿Qué te parece si creamos un torneo?
106,6,423,2022-01-27,¿Has visto el último tráiler?
107,6,807,2022-01-29,Como es posible que tengas tantas horas O:
