,867,867,2019-05-06,Nan
,669,669,2015-01-27,Nan
,872,872,2021-10-18,Nan
,967,677,2007-07-10,Muy cringe tu foto de perfil
,466,755,2004-12-06,Echemonos algunas partidas al CSGO
,267,267,2010-11-26,Nan
,534,534,2018-12-20,Nan
,562,562,2004-03-10,Nan
,925,925,2021-10-20,Nan
,928,928,2017-12-27,Nan
,289,289,2009-09-19,Nan
,798,187,2019-06-04,Si no soportas la presión no jueges! Fastidias la experiencia de los demás
,675,675,2017-08-15,Nan
,526,526,2014-04-28,Nan
,482,23,2017-02-16,Que perfil mas chulo
,231,231,2006-03-22,Nan
,171,171,2012-10-10,Nan
,403,403,2022-01-10,Nan
,977,977,2007-06-27,Nan
,390,832,2007-05-16,No me carga tu descripcion :(
,832,832,2004-08-19,Nan
,368,368,2005-06-15,Nan
,972,972,2015-09-08,Nan
,831,831,2020-04-17,Nan
,874,874,2022-03-08,Nan
,308,308,2015-02-17,Nan
,219,219,2014-01-15,Nan
,89,89,2019-08-28,Nan
,740,740,2016-02-03,Nan
,362,380,2012-03-26,No me puedo creer que tengas tan pocas horas
,8,8,2018-02-11,Nan
,665,665,2017-11-02,Nan
,346,346,2011-04-11,Nan
,336,566,2019-07-07,Echemonos algunas partidas al CSGO
,302,893,2023-02-20,Que perfil mas chulo
,885,885,2004-12-01,Nan
,340,340,2009-01-18,Nan
,880,701,2011-01-12,If you are a beautiful strong black woman someone will put this in your comments
,846,423,2005-10-02,Camper tunneler -rep
,114,114,2014-01-12,Nan
,571,964,2022-08-07,Vete a recoger patatas
,408,408,2005-01-21,Nan
,971,65,2007-01-08,No te rindas tienes potencial
,136,136,2012-09-04,Nan
,224,224,2014-10-25,Nan
,401,401,2021-02-19,Nan
,648,555,2005-07-20,Algun dia me tienes que enseñar a jugar al Stardew valley
,905,804,2016-08-17,Vete a recoger patatas
,726,726,2013-02-15,Nan
,63,971,2014-05-10,No me puedo creer que tengas tan pocas horas
,792,792,2010-09-09,Nan
,144,144,2012-05-04,Nan
,70,70,2013-07-29,Nan
,234,234,2017-05-29,Nan
,764,764,2013-09-18,Nan
,318,102,2013-10-17,Hola te acuerdas de mi? besis <oo>
,973,978,2015-06-05,No jugueis con el le faltan manos
,698,698,2018-07-16,Nan
,683,683,2016-02-10,Nan
,161,161,2004-12-09,Nan
,943,943,2008-02-18,Nan
,505,505,2006-11-07,Nan
,606,606,2016-04-06,Nan
,742,699,2015-08-31,Agregame para jugar juntos :)
,991,991,2005-06-28,Nan
,26,133,2008-10-15,No me carga tu descripcion :(
,478,478,2010-01-15,Nan
,645,645,2017-09-16,Nan
,325,325,2014-03-03,Nan
,257,257,2005-06-30,Nan
,49,475,2011-04-23,Como es posible que tengas tantas horas O:
,222,944,2013-01-17,Algun dia me tienes que enseñar a jugar al Stardew valley
,540,540,2009-06-15,Nan
,429,429,2020-07-12,Nan
,150,150,2021-05-06,Nan
,244,244,2021-08-11,Nan
,372,372,2004-11-29,Nan
,802,802,2021-09-10,Nan
,71,71,2016-05-13,Nan
,209,209,2020-01-30,Nan
,371,81,2004-03-18,No te rindas tienes potencial
,712,712,2017-10-12,Nan
,304,304,2006-08-07,Nan
,188,188,2010-10-23,Nan
,959,959,2018-10-09,Nan
,799,799,2013-01-27,Nan
,429,429,2005-08-31,Nan
,67,67,2021-08-21,Nan
,308,308,2020-05-18,Nan
,25,25,2013-04-17,Nan
,5,5,2018-12-18,Nan
,73,73,2007-04-01,Nan
,106,106,2004-10-05,Nan
,922,922,2011-01-31,Nan
,630,630,2022-11-02,Nan
,258,258,2020-11-21,Nan
,215,215,2021-11-27,Nan
,20,817,2015-03-18,Hola te acuerdas de mi? besis <oo>
,33,33,2008-09-06,Nan
,554,554,2012-05-16,Nan
,162,412,2017-04-27,Agregame para jugar juntos :)
,230,230,2006-07-16,Nan
,47,47,2021-07-28,Nan
,576,134,2008-09-02,Algun dia me tienes que enseñar a jugar al Stardew valley
,491,362,2013-10-19,No te rindas tienes potencial
,266,671,2013-08-02,If you are a beautiful strong black woman someone will put this in your comments
,200,200,2003-09-16,Nan
,928,755,2013-12-01,Vete a recoger patatas
,267,267,2007-06-27,Nan
,714,714,2017-06-25,Nan
,845,845,2013-05-27,Nan
,317,317,2020-01-07,Nan
,659,659,2023-01-17,Nan
,581,581,2023-03-16,Nan
,512,335,2008-12-12,Que perfil mas chulo
,143,654,2010-01-17,Vete a recoger patatas
,507,507,2019-10-10,Nan
,672,672,2005-06-08,Nan
,898,93,2004-07-31,Echemonos algunas partidas al CSGO
,422,422,2020-05-24,Nan
,887,887,2017-09-18,Nan
,99,99,2008-05-10,Nan
,733,733,2018-04-25,Nan
,827,827,2008-05-19,Nan
,947,947,2004-08-05,Nan
,652,652,2018-07-07,Nan
,640,640,2008-06-15,Nan
,312,312,2015-05-06,Nan
,438,438,2012-07-08,Nan
,783,603,2009-01-16,GG
,505,505,2017-06-03,Nan
,815,815,2007-09-29,Nan
,667,667,2020-11-22,Nan
,865,865,2011-06-12,Nan
,163,138,2008-06-02,Echemonos algunas partidas al CSGO
,581,581,2018-08-08,Nan
,79,79,2018-07-29,Nan
,770,770,2016-06-18,Nan
,425,425,2004-11-14,Nan
,961,961,2005-02-19,Nan
,712,712,2021-12-28,Nan
,112,82,2018-08-02,No me carga tu descripcion :(
,994,994,2009-10-27,Nan
,203,203,2018-09-01,Nan
,828,868,2015-06-29,No jugueis con el le faltan manos
,796,796,2011-12-07,Nan
,36,637,2009-01-26,No me carga tu descripcion :(
,552,552,2005-02-17,Nan
,815,10,2015-08-14,Gracias por el carreo
,318,585,2006-04-09,Que perfil mas chulo
,259,259,2006-12-23,Nan
,475,475,2016-04-14,Nan
,587,999,2022-07-28,Agregame para jugar juntos :)
,133,133,2011-07-14,Nan
,604,604,2018-04-01,Nan
,947,947,2022-06-10,Nan
,767,397,2009-08-26,Como es posible que tengas tantas horas O:
,982,982,2016-07-12,Nan
,551,508,2014-12-17,Hola te acuerdas de mi? besis <oo>
,121,347,2022-07-31,+rep divertido jugar con el :D
,67,67,2005-06-03,Nan
,828,828,2011-04-28,Nan
,289,140,2009-08-03,No jugueis con el le faltan manos
,830,830,2012-03-04,Nan
,329,750,2018-02-06,Que perfil mas chulo
,250,250,2016-04-21,Nan
,80,80,2012-10-05,Nan
,176,176,2023-01-03,Nan
,122,122,2018-02-07,Nan
,416,416,2016-10-13,Nan
,340,340,2020-10-12,Nan
,397,397,2005-09-22,Nan
,753,808,2020-08-07,Vete a recoger patatas
,485,485,2016-08-10,Nan
,215,215,2020-03-02,Nan
,494,494,2018-01-04,Nan
,11,11,2021-08-31,Nan
,45,726,2012-10-24,No me puedo creer que tengas tan pocas horas
,881,881,2008-06-23,Nan
,19,19,2008-03-02,Nan
,441,441,2021-07-06,Nan
,251,251,2017-08-18,Nan
,869,869,2022-08-28,Nan
,47,47,2021-11-07,Nan
,521,465,2011-05-08,Echemonos algunas partidas al CSGO
,202,202,2014-12-05,Nan
,850,850,2014-03-13,Nan
,676,676,2017-08-13,Nan
,16,322,2006-12-05,No jugueis con el le faltan manos
,213,213,2020-02-21,Nan
,626,626,2017-06-14,Nan
,42,42,2019-08-29,Nan
,258,911,2013-07-29,No jugueis con el le faltan manos
,162,550,2015-06-23,Agregame para jugar juntos :)
,555,555,2008-12-25,Nan
,706,706,2017-03-27,Nan
,688,688,2013-01-16,Nan
,420,420,2011-06-12,Nan
,745,745,2016-04-14,Nan
,651,651,2004-02-17,Nan
,645,645,2022-11-17,Nan
,37,37,2020-02-06,Nan
,752,752,2018-11-26,Nan
,170,170,2004-08-08,Nan
,402,402,2008-05-27,Nan
,14,14,2012-09-02,Nan
,234,234,2005-12-14,Nan
,532,532,2013-12-24,Nan
,646,893,2011-06-28,If you are a beautiful strong black woman someone will put this in your comments
,728,728,2013-09-04,Nan
,323,323,2006-02-01,Nan
,773,773,2010-03-10,Nan
,596,596,2011-07-26,Nan
,969,969,2009-02-22,Nan
,687,785,2009-11-28,Muy cringe tu foto de perfil
,267,267,2011-10-02,Nan
,809,809,2015-03-09,Nan
,278,278,2008-03-10,Nan
,381,856,2022-12-19,Muy cringe tu foto de perfil
,123,123,2008-11-25,Nan
,28,28,2008-10-23,Nan
,776,776,2018-01-08,Nan
,801,954,2003-11-02,Camper tunneler -rep
,753,753,2006-09-08,Nan
,997,997,2010-02-15,Nan
,25,924,2018-12-06,GG
,147,147,2008-10-14,Nan
,461,461,2021-10-08,Nan
,581,239,2015-11-22,Agregame para jugar juntos :)
,424,424,2008-04-12,Nan
,28,674,2012-10-02,Si no soportas la presión no jueges! Fastidias la experiencia de los demás
,685,630,2010-07-28,No me puedo creer que tengas tan pocas horas
,852,852,2016-08-15,Nan
,533,533,2007-06-03,Nan
,326,102,2015-09-26,Me intercambias cromos?
,374,374,2011-04-12,Nan
,373,314,2004-02-08,Que perfil mas chulo
,541,541,2022-07-03,Nan
,381,381,2020-11-20,Nan
,117,117,2003-12-17,Nan
,224,224,2007-09-30,Nan
,939,500,2020-02-26,If you are a beautiful strong black woman someone will put this in your comments
,299,299,2008-03-01,Nan
,355,355,2021-10-16,Nan
,919,441,2015-04-10,No jugueis con el le faltan manos
,400,400,2017-10-20,Nan
,69,69,2018-10-27,Nan
,214,982,2015-06-01,Como es posible que tengas tantas horas O:
,178,72,2005-05-21,Me intercambias cromos?
,422,226,2016-05-23,GG
,120,7,2010-03-16,Camper tunneler -rep
,377,377,2017-11-17,Nan
,882,882,2016-09-06,Nan
,234,239,2016-11-05,Que perfil mas chulo
,401,401,2018-02-27,Nan
,952,831,2009-02-22,Algun dia me tienes que enseñar a jugar al Stardew valley
,708,708,2018-11-05,Nan
,198,198,2008-06-23,Nan
,664,216,2016-11-27,No me puedo creer que tengas tan pocas horas
,851,851,2021-12-24,Nan
,982,982,2010-02-19,Nan
,819,819,2019-04-10,Nan
,795,795,2008-01-10,Nan
,136,136,2005-07-16,Nan
,992,992,2016-07-29,Nan
,677,774,2011-12-23,Si no soportas la presión no jueges! Fastidias la experiencia de los demás
,853,853,2004-06-25,Nan
,324,324,2019-05-22,Nan
,400,400,2004-10-08,Nan
,996,996,2017-06-25,Nan
,274,274,2005-05-20,Nan
,813,813,2020-11-15,Nan
,856,322,2011-03-28,GG
,282,573,2022-11-07,Algun dia me tienes que enseñar a jugar al Stardew valley
,312,455,2008-01-22,No me carga tu descripcion :(
,811,877,2012-10-15,No me puedo creer que tengas tan pocas horas
,16,16,2017-06-20,Nan
,253,253,2013-12-13,Nan
,219,896,2009-03-02,Que perfil mas chulo
,735,735,2017-09-08,Nan
,306,306,2010-07-17,Nan
,511,511,2019-09-29,Nan
,867,867,2021-07-21,Nan
,196,196,2011-02-23,Nan
,530,418,2004-05-01,Muy cringe tu foto de perfil
,969,969,2010-11-09,Nan
,913,913,2018-12-09,Nan
,841,841,2019-02-26,Nan
,890,890,2013-05-30,Nan
,433,433,2008-06-21,Nan
,800,260,2010-02-11,Que perfil mas chulo
,11,11,2017-08-24,Nan
,485,485,2008-09-29,Nan
,361,361,2020-07-04,Nan
,648,620,2018-02-07,+rep divertido jugar con el :D
,188,188,2012-03-25,Nan
,605,952,2017-12-25,Echemonos algunas partidas al CSGO
,908,908,2012-09-07,Nan
,312,312,2013-12-22,Nan
,888,888,2014-03-23,Nan
,765,182,2016-11-27,+rep divertido jugar con el :D
,77,77,2013-03-24,Nan
,855,855,2015-09-10,Nan
,290,865,2021-04-17,Camper tunneler -rep
,931,931,2015-02-26,Nan
,701,450,2011-07-18,Hola te acuerdas de mi? besis <oo>
,639,639,2014-12-06,Nan
,327,327,2012-01-25,Nan
,623,307,2009-12-03,Gracias por el carreo
,615,120,2009-10-09,Como es posible que tengas tantas horas O:
,347,985,2006-10-25,Vete a recoger patatas
,355,612,2009-08-21,No me carga tu descripcion :(
,749,749,2022-06-21,Nan
,3,3,2013-12-20,Nan
,109,666,2009-02-27,No me carga tu descripcion :(
,641,641,2011-01-01,Nan
,304,304,2021-09-16,Nan
,446,446,2005-06-10,Nan
,918,918,2010-08-20,Nan
,182,182,2004-05-28,Nan
,89,699,2005-12-06,Agregame para jugar juntos :)
,856,856,2014-07-03,Nan
,28,28,2012-04-23,Nan
,245,245,2007-12-09,Nan
,369,819,2016-03-14,Como es posible que tengas tantas horas O:
,386,386,2009-08-29,Nan
,613,849,2012-10-13,+rep divertido jugar con el :D
,481,481,2015-01-06,Nan
,495,495,2010-02-25,Nan
,217,217,2009-08-08,Nan
,806,845,2008-01-05,Gracias por el carreo
,255,255,2013-12-31,Nan
,979,76,2007-11-28,If you are a beautiful strong black woman someone will put this in your comments
,170,170,2022-09-18,Nan
,388,167,2018-08-22,Camper tunneler -rep
,722,722,2004-12-12,Nan
,59,59,2009-11-04,Nan
,897,897,2008-07-25,Nan
,688,916,2014-02-20,Gracias por el carreo
,676,676,2019-03-06,Nan
,929,929,2010-09-18,Nan
,664,664,2020-04-13,Nan
,368,368,2005-05-06,Nan
,974,678,2022-02-16,Me intercambias cromos?
,966,331,2011-04-19,Agregame para jugar juntos :)
,849,849,2021-04-19,Nan
,235,235,2005-11-21,Nan
,291,291,2006-05-31,Nan
,88,680,2022-12-15,GG
,517,517,2015-10-31,Nan
,951,951,2007-06-23,Nan
,603,603,2017-09-16,Nan
,636,155,2009-10-14,Echemonos algunas partidas al CSGO
,409,409,2007-02-24,Nan
,382,382,2014-04-28,Nan
,812,812,2005-06-30,Nan
,435,435,2010-06-14,Nan
,663,663,2023-01-31,Nan
,555,555,2009-05-31,Nan
,143,143,2018-04-13,Nan
,612,612,2014-11-28,Nan
,91,91,2006-04-18,Nan
,507,507,2008-12-10,Nan
,482,136,2009-08-26,Gracias por el carreo
,226,226,2012-07-18,Nan
,724,742,2014-11-19,No me puedo creer que tengas tan pocas horas
,961,961,2011-04-24,Nan
,301,301,2018-11-12,Nan
,104,456,2011-07-20,Como es posible que tengas tantas horas O:
,95,95,2004-05-10,Nan
,997,997,2022-12-05,Nan
,954,661,2007-10-23,Como es posible que tengas tantas horas O:
,948,948,2004-10-05,Nan
,277,712,2017-09-05,Como es posible que tengas tantas horas O:
,747,747,2017-01-21,Nan
,935,935,2018-06-01,Nan
,980,891,2008-04-20,Echemonos algunas partidas al CSGO
,6,15,2008-06-24,Muy cringe tu foto de perfil
,297,529,2020-07-28,Como es posible que tengas tantas horas O:
,39,114,2010-09-24,Agregame para jugar juntos :)
,536,536,2007-07-04,Nan
,630,174,2020-03-16,No me puedo creer que tengas tan pocas horas
,534,534,2019-04-18,Nan
,5,5,2012-03-24,Nan
,330,684,2006-02-02,Que perfil mas chulo
,317,317,2017-04-06,Nan
,218,218,2015-05-17,Nan
,439,439,2022-01-20,Nan
,400,400,2014-05-31,Nan
,694,694,2006-03-20,Nan
,769,769,2014-04-28,Nan
,63,63,2010-10-22,Nan
,476,476,2015-02-09,Nan
,177,357,2011-05-05,Echemonos algunas partidas al CSGO
,447,732,2013-09-03,Hola te acuerdas de mi? besis <oo>
,600,600,2008-01-12,Nan
,887,887,2005-07-28,Nan
,321,321,2005-09-29,Nan
,754,754,2005-07-10,Nan
,313,313,2006-03-15,Nan
,818,864,2022-01-04,Agregame para jugar juntos :)
,907,986,2021-12-02,Camper tunneler -rep
,548,548,2010-10-25,Nan
,284,284,2005-11-14,Nan
,132,132,2004-03-22,Nan
,750,226,2004-06-17,No me puedo creer que tengas tan pocas horas
,764,280,2021-09-11,Hola te acuerdas de mi? besis <oo>
,71,32,2012-10-27,Vete a recoger patatas
,949,949,2015-11-03,Nan
,776,104,2004-02-07,Gracias por el carreo
,208,208,2005-03-31,Nan
,610,812,2020-07-18,Gracias por el carreo
,523,27,2014-09-26,Agregame para jugar juntos :)
,151,900,2014-11-18,Hola te acuerdas de mi? besis <oo>
,362,446,2020-05-27,If you are a beautiful strong black woman someone will put this in your comments
,165,505,2011-03-16,Me intercambias cromos?
,174,984,2017-10-11,No jugueis con el le faltan manos
,728,728,2022-08-06,Nan
,612,639,2007-04-18,+rep divertido jugar con el :D
,303,399,2022-11-01,Muy cringe tu foto de perfil
,88,547,2011-11-23,Vete a recoger patatas
,325,325,2006-03-23,Nan
,796,796,2009-12-19,Nan
,248,248,2009-03-31,Nan
,662,662,2018-08-16,Nan
,290,791,2012-01-17,Algun dia me tienes que enseñar a jugar al Stardew valley
,508,803,2017-11-28,+rep divertido jugar con el :D
,312,65,2018-04-11,If you are a beautiful strong black woman someone will put this in your comments
,286,150,2009-09-26,Agregame para jugar juntos :)
,587,587,2007-12-31,Nan
,118,118,2014-09-17,Nan
,345,463,2013-10-04,If you are a beautiful strong black woman someone will put this in your comments
,795,795,2023-02-28,Nan
,204,204,2003-11-08,Nan
,956,755,2013-10-21,No jugueis con el le faltan manos
,215,215,2009-09-04,Nan
,593,437,2005-08-26,Camper tunneler -rep
,693,693,2006-08-22,Nan
,236,729,2013-11-11,If you are a beautiful strong black woman someone will put this in your comments
,805,131,2013-07-20,Algun dia me tienes que enseñar a jugar al Stardew valley
,731,731,2013-04-02,Nan
,374,638,2010-05-23,+rep divertido jugar con el :D
,5,538,2011-02-10,Echemonos algunas partidas al CSGO
,933,897,2017-12-30,No me puedo creer que tengas tan pocas horas
,455,455,2006-07-16,Nan
,547,547,2005-02-18,Nan
,481,481,2004-04-06,Nan
,816,640,2014-01-22,Vete a recoger patatas
,456,4,2014-11-04,No me puedo creer que tengas tan pocas horas
,138,296,2013-01-20,Gracias por el carreo
,675,675,2013-07-10,Nan
,721,721,2009-02-17,Nan
,62,938,2004-10-08,Si no soportas la presión no jueges! Fastidias la experiencia de los demás
,3,3,2022-12-02,Nan
,271,271,2008-01-09,Nan
,202,202,2013-03-25,Nan
,426,426,2010-01-25,Nan
,900,900,2007-08-13,Nan
,386,386,2019-07-29,Nan
,413,413,2010-07-10,Nan
,404,404,2011-05-13,Nan
,584,574,2020-10-03,Echemonos algunas partidas al CSGO
,513,596,2012-03-08,No jugueis con el le faltan manos
,359,359,2007-07-03,Nan
,619,619,2016-12-28,Nan
,111,892,2016-10-20,Agregame para jugar juntos :)
,365,365,2023-03-14,Nan
,141,141,2019-12-17,Nan
,544,544,2012-12-14,Nan
,919,919,2022-11-06,Nan
,931,931,2009-09-16,Nan
,866,308,2007-04-13,No me carga tu descripcion :(
,367,367,2006-03-24,Nan
,290,290,2005-01-30,Nan
,74,301,2013-05-04,Muy cringe tu foto de perfil
,822,822,2011-10-13,Nan
,372,372,2013-10-14,Nan
,48,48,2006-01-16,Nan
,619,619,2013-10-10,Nan
,582,582,2016-02-01,Nan
,566,566,2019-06-11,Nan
,423,423,2021-05-14,Nan
,433,127,2006-09-09,+rep divertido jugar con el :D
,9,536,2008-03-31,Agregame para jugar juntos :)
,672,553,2011-08-30,Si no soportas la presión no jueges! Fastidias la experiencia de los demás
,18,562,2009-09-17,Como es posible que tengas tantas horas O:
,559,445,2006-12-10,No me carga tu descripcion :(
,191,191,2018-07-26,Nan
,137,137,2017-10-26,Nan
,451,451,2008-02-05,Nan
,632,632,2008-02-06,Nan
,888,888,2012-06-05,Nan
,279,279,2019-05-23,Nan
,264,264,2022-03-06,Nan
,635,635,2015-11-26,Nan
,582,647,2009-01-03,Camper tunneler -rep
,125,680,2022-05-28,+rep divertido jugar con el :D
,546,546,2018-09-12,Nan
,548,548,2021-01-08,Nan
,381,381,2007-03-16,Nan
,594,594,2004-01-11,Nan
,674,674,2022-04-26,Nan
,112,4,2021-06-07,No me carga tu descripcion :(
,139,139,2021-12-08,Nan
,686,512,2015-01-18,Muy cringe tu foto de perfil
,245,324,2022-03-27,Como es posible que tengas tantas horas O:
,891,207,2009-07-06,No te rindas tienes potencial
,975,975,2020-03-14,Nan
,304,304,2021-02-05,Nan
,857,857,2005-05-26,Nan
,976,976,2020-06-24,Nan
,181,181,2011-03-13,Nan
,284,284,2015-12-07,Nan
,599,599,2017-06-25,Nan
,195,195,2021-01-28,Nan
,399,399,2017-12-16,Nan
,754,754,2020-11-08,Nan
,747,372,2008-07-31,Echemonos algunas partidas al CSGO
,828,361,2014-03-30,No me carga tu descripcion :(
,928,433,2013-12-25,No me carga tu descripcion :(
,203,203,2005-01-12,Nan
,385,385,2015-03-10,Nan
,217,15,2007-12-28,No me carga tu descripcion :(
,262,262,2010-04-23,Nan
,128,128,2021-02-26,Nan
,985,985,2015-03-10,Nan
,342,342,2006-10-03,Nan
,352,352,2017-07-09,Nan
,906,172,2012-07-29,Algun dia me tienes que enseñar a jugar al Stardew valley
,607,607,2016-09-30,Nan
,17,17,2018-11-15,Nan
,108,108,2010-07-29,Nan
,631,823,2012-05-20,Que perfil mas chulo
,548,548,2010-02-14,Nan
,257,257,2015-03-10,Nan
,610,610,2013-11-14,Nan
,691,691,2004-09-18,Nan
,565,565,2009-09-11,Nan
,522,522,2017-07-22,Nan
,1,1,2010-11-24,Nan
