,Counter-Strike: Global Offensive,desc_snippet,14.99,08-21-2012
,PLAYERUNKNOWN'S BATTLEGROUNDS,"Now includes all three premium DLC packs (Unto the Evil, Hell Followed, and Bloodfall), maps, modes, and weapons, as well as all feature updates including Arcade Mode, Photo Mode, and the latest Update 6.66, which brings further multiplayer improvements as well as revamps multiplayer progression.",29.99,03-23-2017
,Outlast 2,PLAYERUNKNOWN'S BATTLEGROUNDS is a battle royale shooter that pits 100 players against each other in a struggle for survival. Gather supplies and outwit your opponents to become the last person standing.,29.99,04-24-2017
,SMITE,"Take command of your own mercenary outfit of 'Mechs and the MechWarriors that pilot them, struggling to stay afloat as you find yourself drawn into a brutal interstellar civil war.",0.0,09-8-2015
,Rocket League,"The post-soviet country of Chernarus is struck by an unknown virus, turning the majority population into frenzied infected. Fighting over resources has bred a hostile mentality among survivors, driving what’s left of humanity to collapse. You are one of the few immune to the virus - how far will you go to survive?",19.99,07-6-2015
,BlazBlue Centralfiction,"EVE Online is a community-driven spaceship MMO where players can play free, choosing their own path from countless options. Experience space exploration, immense PvP and PvE battles, mining, industry and a thriving player economy in an ever-expanding sandbox.",39.99,04-25-2017
,Warframe,Grand Theft Auto V: Premium Online Edition bundle,0.0,03-25-2013
,The Long Dark,"The ultimate Devil Hunter is back in style, in the game action fans have been waiting for.",19.99,09-22-2014
,H1Z1: King of the Kill,Human: Fall Flat is a quirky open-ended physics-based puzzle platformer set in floating dreamscapes. Your goal is to find the exit of these surreal levels by solving puzzles with nothing but your wits. Local co-op for 2 players and up to 8 online for even more mayhem!,19.99,02-17-2016
,NieR:Automata ,They Are Billions is a Steampunk strategy game set on a post-apocalyptic planet. Build and defend colonies to survive against the billions of the infected that seek to annihilate the few remaining living humans. Can humanity survive after the zombie apocalypse?,59.99,03-17-2017
,Batman : Arkham Knight,"In a world ravaged by war and dominated by magic, you must rise up to face the Chaos hordes. Playing solo or with up to four players in local or online co-op, choose a hero from four character classes and prepare for epic battles wielding some of the most powerful artefacts of the Old World.",19.99,06-23-2015
,Team Fortress 2,"For The King is a strategic RPG that blends tabletop and roguelike elements in a challenging adventure that spans the realms. Set off on a single player experience or play cooperatively both online and locally. INTO THE DEEP ADVENTURE, NOW AVAILABLE FOR FREE!",0.0,10-10-2007
,War Thunder,"A new cast of 16 characters find themselves kidnapped and imprisoned in a school. Inside, some will kill, some will die, and some will be punished. Reimagine what you thought high-stakes, fast-paced investigation was as you investigate twisted murder cases and condemn your new friends to death.",0.0,08-15-2013
,DRAGON QUEST HEROES  II,"From En Masse Entertainment, TERA is at the forefront of a new breed of MMO. With True Action Combat - aim, dodge, and time your attacks for intense and rewarding tactical combat. Add the deep social experience of a MMO to best-in-class action combat mechanics for a unique blend of both genres. Play now for free!",59.99,04-25-2017
,FINAL FANTASY XIV: A Realm Reborn ,"One of the most critically-acclaimed games in history, Call of Duty: Modern Warfare is back, remastered in true high-definition, featuring improved textures, physically based rendering, high-dynamic range lighting and much more.",19.99,02-18-2014
,Batman: Arkham City - Game of the Year Edition,"Pioneer a living world full of warmth, heroism, and mystery. Help a small group of settlers build a home for themselves in a forgotten land. Establish a food supply, build shelter, defend your people, monitor their moods, and find a way to grow and expand, facing challenges at every step.",19.99,09-7-2012
,Space Engineers,Hearts of Iron IV: Mobilization Pack bundle,24.99,10-23-2013
,Sniper Ghost Warrior 3,"Clone Drone in the Danger Zone is a third person sword fighter where any part of your body can be sliced off. With your mind downloaded into a robot gladiator, you must survive the sinister trials of the arena.",49.99,04-24-2017
,Tom Clancy's Rainbow Six Siege,"Set in a post-apocalyptic setting, it’s up to your special team of God Eaters to take down god-like monsters devastating the world. With an epic story, unique characters, and all new God Arcs and Aragami, the latest evolution in ACTION is here!",14.99,12-1-2015
,Dota 2,"War Robots is an online third-person 6v6 PvP shooter—we’re talking dozens of combat robots, hundreds of weapons combinations, and heated clan battles.",0.0,07-9-2013
,Grand Theft Auto V,"Halo Wars: Definitive Edition is an enhanced version of the real-time strategy classic, Halo Wars, updated to run natively on PC. Halo Wars: Definitive Edition includes improved graphics, new achievements and all of the DLC created for the landmark real-time strategy game.",59.99,04-13-2015
,Batman: Arkham Asylum Game of the Year Edition,The biggest first-person action series of all time and the follow-up to critically acclaimed Call of Duty®: Modern Warfare 2 returns with Call of Duty®: Black Ops.,19.99,03-26-2010
,Halo Wars: Definitive Edition,"Become Phoenix Wright and experience the thrill of battle as you fight to save your innocent clients in a court of law. Play all 14 episodes, spanning the first three games, in one gorgeous collection.",19.99,04-20-2017
,Street Fighter V,Team Sonic Racing combines the best elements of arcade and fast-paced competitive style racing as you face-off with friends in intense multiplayer racing.,39.99,02-15-2016
,Batman : Arkham VR,"For its 10 year anniversary, Titan Quest will shine in new splendour. This Anniversary Edition combines both Titan Quest and Titan Quest Immortal Throne in one game, and has been given a massive overhaul for the ultimate ARPG experience.",19.99,04-25-2017
,Star Trek Online,"What does the American dream mean today? For Niko Bellic fresh off the boat from Europe, it is the hope he can escape from his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity.",0.0,01-31-2012
,Fallout Shelter,Portal Bundle bundle,0.0,03-29-2017
,Path of Exile,"Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.",0.0,10-23-2013
,Batman : Arkham Origins,"In Viscera Cleanup Detail, you step into the boots of a space-station janitor tasked with cleaning up after various horrific sci-fi horror events. Instead of machineguns and plasma-rifles, your tools are a mop and bucket. That hero left a mess, and it's up to you to deal with the aftermath.",19.99,10-25-2013
,Sid Meier’s Civilization VI,Return to the Forgotten Realms in this bestselling Dungeons & Dragons roleplaying game. Combines all the content of Neverwinter Nights Diamond Edition with all-new enhanced features. Includes 100+ hours of award-winning adventures and the tools to create your own!,59.99,10-20-2016
,What Remains of Edith Finch,"Join the young king Evan as he sets out on an epic quest to found a new kingdom and, with the help of some new friends, unite his world, saving its people from a terrible evil.",19.99,04-24-2017
,Scanner Sombre,Tree of Savior(abbreviated as TOS thereafter) is an MMORPG in which you embark on a journey to search for the goddesses in the world of chaos. Fairy-tale like colors accompanied with beautiful graphics in TOS will have you reminiscing about precious moments all throughout the game.,11.99,04-26-2017
,Earthfall,"From the makers of Heavenly Sword, Enslaved: Odyssey to the West, and DmC: Devil May Cry, comes a warrior’s brutal journey into myth and madness. Set in the Viking age, a broken Celtic warrior embarks on a haunting vision quest into Viking Hell to fight for the soul of her dead lover.",29.99,04-26-2017
,Rick and Morty: Virtual Rick-ality,"Jabberwock Island—You and your classmates were ready for fun in the sun until Monokuma returned to restart his murderous game! Trapped in a kill-or-be-killed situation, your only hope rests in solving the island’s mysteries.",29.99,04-20-2017
,Stardew Valley,"SEGA’s legendary Japanese series finally comes to PC. Fight like hell through Tokyo and Osaka as junior yakuza Kiryu and Majima. Take a front row seat to 1980s life in Japan in an experience unlike anything else in video gaming, with uncapped framerates and 4K resolutions. A legend is born.",14.99,02-26-2016
,Stellaris,"Craft, Steal, Brawl and Escape! It’s time to bust out of the toughest prisons in the world as you return to the life of an inmate in The Escapists 2, now with multiplayer! Have you got what it takes to escape?",39.99,05-9-2016
,TERA,"Join the rise of Darth Vader’s elite 501st Legion of Stormtroopers as you fight through an all new story-based saga where every action you take impacts the battlefront and, ultimately, the fate of the Star Wars galaxy.",0.0,05-5-2015
,RimWorld,"On our 10th anniversary, join over 50 million Wizards and help save Wizard City! Enroll in the Ravenwood School of Magical Arts, master powerful spells against tough bosses, and explore fantastical worlds across The Spiral!",29.99,07-15-2016
,Dungeon Fighter Online,"After a tragic incident, brothers Sean and Daniel Diaz run away from home. Fearing the police, and dealing with Daniel's new telekinetic power, the boys head to Mexico. Each stop on their journey brings new friends and new challenges.",0.0,08-9-2016
,Factorio,The Legend of Dead Kel DLC is now available! The legendary pirate Dead Kel and his Hanged Men have returned to haunt the seas of northern Amalur.,20.0,02-25-2016
,NBA 2K17,Doom Classic Complete bundle,59.99,09-20-2016
,LEGO Batman,Command any of the six unique factions in the next standalone expansion of the critically acclaimed Dawn of War real-time strategy franchise. Choose to build a massive army or lead a small squad of elite heroes into battle and experience a single player campaign customized to your favorite race.,19.99,10-10-2008
,LEGO Batman 2 DC Super Heroes ,The latest in full-scale Tactical RPG receiving great reviews all around the world is finally on PC Steam! Enjoy the ensemble cast of heroes who fought in ancient Japan and capture the best in Tactical RPG consisting an overwhelming game volume of 142 battle stages and 160 hours in total play time.,19.99,06-22-2012
,LEGO Batman 3: Beyond Gotham,"Just updated to include player stats, achievements, new scoreboards and more!",29.99,11-11-2014
,The Witcher 3: Wild Hunt,"Developed by Shinji Mikami -- creator of the seminal Resident Evil series -- and the talented team at Tango Gameworks, The Evil Within embodies the meaning of pure survival horror. Highly-crafted environments, horrifying anxiety, and an intricate story are combined to create an immersive world that will bring you to the height of tension.",39.99,05-18-2015
,DARK SOULS  III,The Binding of Isaac: Rebirth Complete Bundle bundle,59.99,04-11-2016
,Silence,《Bright Memory》is developed by an independent game developer FYQD in his spare time.Travel to the sky of land to prevent SAI from digging out the secrets of the rebirth of ancient creatures.This is a war between future science and ancient civilization.,29.99,11-15-2016
